year,fuel,generation_twh,emission_mtco2
1985,bioenergy,0.0,0.0
1986,bioenergy,0.0,0.0
1987,bioenergy,0.0,0.0
1988,bioenergy,0.0,0.0
1989,bioenergy,0.0,0.0
1990,bioenergy,0.0,0.0
1991,bioenergy,0.0,0.0
1992,bioenergy,0.0,0.0
1993,bioenergy,0.0,0.0
1994,bioenergy,0.0,0.0
1995,bioenergy,0.0,0.0
1996,bioenergy,0.0,0.0
1997,bioenergy,0.0,0.0
1998,bioenergy,0.0,0.0
1999,bioenergy,0.0,0.0
2000,bioenergy,1.69,0.0676
2001,bioenergy,2.07,0.0828
2002,bioenergy,2.14,0.08560000000000001
2003,bioenergy,2.71,0.1084
2004,bioenergy,3.31,0.13240000000000002
2005,bioenergy,4.04,0.1616
2006,bioenergy,5.59,0.2236
2007,bioenergy,7.4,0.29600000000000004
2008,bioenergy,9.3,0.37200000000000005
2009,bioenergy,11.64,0.4656
2010,bioenergy,14.3,0.5720000000000001
2011,bioenergy,17.14,0.6856
2012,bioenergy,19.94,0.7976000000000001
2013,bioenergy,22.48,0.8992
2014,bioenergy,24.68,0.9872
2015,bioenergy,30.62,1.2248
2016,bioenergy,24.82,0.9928
2017,bioenergy,24.91,0.9964000000000001
2018,bioenergy,27.22,1.0888
2019,bioenergy,31.51,1.2604000000000002
2020,bioenergy,32.86,1.3144
2021,bioenergy,35.5,1.42
2022,bioenergy,38.57,1.5428
2023,bioenergy,37.28,1.4912
2024,bioenergy,35.83,1.4332
2025,bioenergy,35.83,1.4332
2026,bioenergy,35.83,1.4332
2027,bioenergy,35.83,1.4332
2028,bioenergy,35.83,1.4332
2029,bioenergy,35.83,1.4332
2030,bioenergy,35.83,1.4332
2031,bioenergy,35.83,1.4332
2032,bioenergy,35.83,1.4332
2033,bioenergy,35.83,1.4332
2034,bioenergy,35.83,1.4332
2035,bioenergy,35.83,1.4332
1985,coal,109.345847424,89.66359488767999
1986,coal,127.39472727033528,104.46367636167493
1987,coal,145.44360712223246,119.26375784023061
1988,coal,163.49248711002963,134.06383943022428
1989,coal,181.5908160840948,148.90446918895773
1990,coal,199.6397020545223,163.70455568470828
1991,coal,217.70397853015425,178.51726239472646
1992,coal,235.77920448240025,193.3389476755682
1993,coal,253.9254207410623,208.2188450076711
1994,coal,272.0220571738811,223.05808688258247
1995,coal,290.1396513085796,237.91451407303524
1996,coal,308.28542036205084,252.79404469688168
1997,coal,327.5400835392647,268.582868502197
1998,coal,346.7599434230765,284.3431536069227
1999,coal,365.97980330688847,300.10343871164855
2000,coal,385.20820816008,315.8707306912656
2001,coal,404.4925364217019,331.6838798657956
2002,coal,423.750015056469,347.4750123463046
2003,coal,443.0169773567796,363.27392143255923
2004,coal,462.2839396570902,379.07283051881393
2005,coal,481.6109355519866,394.920967152629
2006,coal,502.24603636646265,411.84174982049933
2007,coal,537.881446057097,441.06278576681956
2008,coal,573.5429762588566,470.30524053226236
2009,coal,609.3022092830867,499.62781161213104
2010,coal,662.8079687080983,543.5025343406406
2011,coal,726.4784486217363,595.7123278698238
2012,coal,790.1546910660775,647.9268466741835
2013,coal,854.0053891139092,700.2844190734055
2014,coal,917.681631702594,752.4989379961271
2015,coal,981.3552960472229,804.7113427587227
2016,coal,1037.2371414708743,850.5344560061169
2017,coal,1093.2710411804344,896.4822537679562
2018,coal,1149.1518428033555,942.3045110987515
2019,coal,1205.032644426277,988.1267684295472
2020,coal,1260.9134460491994,1033.9490257603434
2021,coal,1316.9473457587587,1079.896823522182
2022,coal,1372.8281473816803,1125.7190808529779
2023,coal,1428.7089490046023,1171.5413381837739
2024,coal,1484.5897506275237,1217.3635955145694
2024,coal,1540.4705522504453,1263.1858528453652
2025,coal,1596.3513538733669,1309.0081101761607
2026,coal,1652.2321554962891,1354.830367506957
2027,coal,1708.1129571192107,1400.6526248377527
2028,coal,1764.1468568287703,1446.6004225995916
2029,coal,1820.027658451692,1492.4226799303874
2030,coal,1875.9084600746128,1538.2449372611825
2031,coal,1931.7892616975348,1584.0671945919785
2032,coal,1987.823161407095,1630.014992353818
2033,coal,2043.703963030017,1675.8372496846137
2034,coal,2099.5847646529382,1721.6595070154092
1985,gas,2.158,1.05742
1986,gas,3.682,1.80418
1987,gas,4.235,2.0751500000000003
1988,gas,3.604,1.76596
1989,gas,7.275,3.56475
1990,gas,9.958,4.87942
1991,gas,13.355,6.54395
1992,gas,16.258,7.966419999999999
1993,gas,17.878,8.76022
1994,gas,21.882,10.72218
1995,gas,29.434,14.42266
1996,gas,32.024,15.69176
1997,gas,40.179,19.68771
1998,gas,50.175,24.585749999999997
1999,gas,59.009,28.91441
2000,gas,55.96,27.4204
2001,gas,55.93,27.4057
2002,gas,62.88,30.8112
2003,gas,72.8,35.672
2004,gas,76.58,37.5242
2005,gas,75.47,36.9803
2006,gas,74.7,36.603
2007,gas,90.05,44.1245
2008,gas,85.88,42.081199999999995
2009,gas,104.37,51.1413
2010,gas,118.03,57.8347
2011,gas,117.56,57.6044
2012,gas,96.25,47.1625
2013,gas,66.31,32.4919
2014,gas,64.01,31.364900000000002
2015,gas,64.77,31.737299999999998
2016,gas,72.62,35.583800000000004
2017,gas,74.99,36.745099999999994
2018,gas,71.26,34.9174
2019,gas,71.95,35.2555
2020,gas,74.79,36.6471
2021,gas,60.4,29.596
2022,gas,46.48,22.775199999999998
2023,gas,52.61,25.7789
2024,gas,57.12,27.988799999999998
2025,gas,57.12,27.988799999999998
2026,gas,57.12,27.988799999999998
2027,gas,57.12,27.988799999999998
2028,gas,57.12,27.988799999999998
2029,gas,57.12,27.988799999999998
2030,gas,57.12,27.988799999999998
2031,gas,57.12,27.988799999999998
2032,gas,57.12,27.988799999999998
2033,gas,57.12,27.988799999999998
2034,gas,57.12,27.988799999999998
2035,gas,57.12,27.988799999999998
1985,hydro,51.813046,0.207252184
1986,hydro,52.568764,0.21027505600000002
1987,hydro,48.962532,0.195850128
1988,hydro,54.614944,0.21845977600000002
1989,hydro,63.369778,0.253479112
1990,hydro,66.397064,0.265588256
1991,hydro,73.918884,0.295675536
1992,hydro,70.060745,0.28024298
1993,hydro,70.7325,0.28293
1994,hydro,80.21211,0.32084844
1995,hydro,75.920876,0.30368350400000005
1996,hydro,69.05754,0.27623016
1997,hydro,70.211006,0.28084402399999997
1998,hydro,83.63273,0.33453092
1999,hydro,82.24945,0.3289978
2000,hydro,76.99,0.30796
2001,hydro,72.02,0.28808
2002,hydro,68.54,0.27416
2003,hydro,69.3,0.2772
2004,hydro,100.64,0.40256000000000003
2005,hydro,97.42,0.38968
2006,hydro,112.62,0.45048000000000005
2007,hydro,122.61,0.49044
2008,hydro,115.17,0.46068000000000003
2009,hydro,106.34,0.42536
2010,hydro,108.74,0.43496
2011,hydro,131.7,0.5267999999999999
2012,hydro,115.78,0.46312000000000003
2013,hydro,131.98,0.52792
2014,hydro,139.0,0.556
2015,hydro,133.28,0.53312
2016,hydro,128.38,0.51352
2017,hydro,135.82,0.54328
2018,hydro,139.75,0.559
2019,hydro,162.07,0.64828
2020,hydro,163.7,0.6547999999999999
2021,hydro,160.34,0.64136
2022,hydro,174.94,0.69976
2023,hydro,149.17,0.59668
2024,hydro,156.21,0.6248400000000001
2025,hydro,163.9281790999994,0.6557127163999976
2026,hydro,166.94146592317065,0.6677658636926826
2027,hydro,169.954752746341,0.679819010985364
2028,hydro,172.96803956951226,0.691872158278049
2029,hydro,175.9813263926826,0.7039253055707304
2030,hydro,178.99461321585295,0.7159784528634118
2031,hydro,182.0079000390242,0.7280316001560968
2032,hydro,185.02118686219453,0.7400847474487782
2033,hydro,188.0344736853658,0.7521378947414633
2034,hydro,191.04776050853616,0.7641910420341447
2035,hydro,194.0610473317074,0.7762441893268297
1985,nuclear,4.507788,0.054093456
1986,nuclear,5.020438,0.060245256000000004
1987,nuclear,5.3209577,0.0638514924
1988,nuclear,6.076675,0.0729201
1989,nuclear,4.021654,0.048259848
1990,nuclear,6.3948717,0.0767384604
1991,nuclear,5.413765,0.06496518
1992,nuclear,6.4037104,0.0768445248
1993,nuclear,6.2269344,0.07472321280000001
1994,nuclear,4.9453087,0.0593437044
1995,nuclear,7.6146264,0.0913755168
1996,nuclear,8.401279,0.10081534800000001
1997,nuclear,10.071813,0.12086175600000001
1998,nuclear,11.371117,0.136453404
1999,nuclear,12.727872,0.152734464
2000,nuclear,15.77,0.18924
2001,nuclear,18.89,0.22668000000000002
2002,nuclear,19.35,0.23220000000000002
2003,nuclear,18.14,0.21768
2004,nuclear,21.26,0.25512
2005,nuclear,17.73,0.21276
2006,nuclear,17.63,0.21156
2007,nuclear,17.83,0.21395999999999998
2008,nuclear,15.23,0.18276
2009,nuclear,16.82,0.20184000000000002
2010,nuclear,23.08,0.27696
2011,nuclear,32.22,0.38664
2012,nuclear,33.14,0.39768000000000003
2013,nuclear,33.31,0.39972
2014,nuclear,34.69,0.41628
2015,nuclear,38.31,0.45972
2016,nuclear,37.9,0.4548
2017,nuclear,37.41,0.44892
2018,nuclear,39.05,0.46859999999999996
2019,nuclear,45.16,0.54192
2020,nuclear,44.61,0.53532
2021,nuclear,43.92,0.5270400000000001
2022,nuclear,46.19,0.55428
2023,nuclear,48.2,0.5784
2024,nuclear,54.7,0.6564000000000001
2025,nuclear,54.7,0.6564000000000001
2026,nuclear,54.7,0.6564000000000001
2027,nuclear,54.7,0.6564000000000001
2028,nuclear,54.7,0.6564000000000001
2029,nuclear,54.7,0.6564000000000001
2030,nuclear,54.7,0.6564000000000001
2031,nuclear,54.7,0.6564000000000001
2032,nuclear,54.7,0.6564000000000001
2033,nuclear,54.7,0.6564000000000001
2034,nuclear,54.7,0.6564000000000001
2035,nuclear,54.7,0.6564000000000001
1985,oil,11.868,8.78232
